n_estimators,max_depth,learning_rate,subsample,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
200,5,0.01,1.0,0.6789909971286887,0.5683498518555165,UP,0.6354226469993591,0.36457735300064087
200,3,0.01,0.5,0.6790355619097909,0.5892989660119724,UP,0.5789656043052673,0.42103439569473267
150,3,0.03,0.8,0.6794665276841627,0.5879604434989583,UP,0.6449105739593506,0.3550894260406494
300,3,0.01,1.0,0.6795863674000421,0.5744158050099771,UP,0.6588188409805298,0.3411811590194702
200,5,0.01,0.8,0.6799640610691858,0.5737506665127503,UP,0.6380387544631958,0.3619612455368042
100,3,0.03,1.0,0.6800242533151429,0.576446951082087,UP,0.6497930884361267,0.3502069115638733
100,9,0.01,0.5,0.6800360957987414,0.5899833440525074,UP,0.5392737984657288,0.46072620153427124
100,9,0.01,1.0,0.6800960660164859,0.5791679722071055,UP,0.5687906742095947,0.4312093257904053
250,3,0.01,0.5,0.6801491184589153,0.5771175865916874,UP,0.5862858891487122,0.41371411085128784
200,5,0.01,0.5,0.6811016151131882,0.5852449193863135,UP,0.6173996925354004,0.3826003074645996
50,7,0.03,0.8,0.6811173776977704,0.5703590098781313,UP,0.6747826933860779,0.3252173066139221
150,7,0.01,0.5,0.681175826420652,0.5825348922860426,UP,0.6026981472969055,0.3973018527030945
100,7,0.01,1.0,0.6822182862821505,0.5751084285690727,UP,0.5556296110153198,0.4443703889846802
300,3,0.01,0.5,0.6822890180718536,0.5696773803437831,UP,0.5909252166748047,0.4090747833251953
150,7,0.01,0.8,0.682522078560129,0.5676489827778602,UP,0.6401166319847107,0.3598833680152893
250,5,0.01,1.0,0.6829329917369978,0.571730514465388,UP,0.6659182906150818,0.3340817093849182
50,5,0.03,0.5,0.6832889075931309,0.5777992161260355,UP,0.5776320695877075,0.4223679304122925
50,3,0.05,0.5,0.6836521631036406,0.5622399226020658,UP,0.6024589538574219,0.3975410461425781
250,5,0.01,0.8,0.6845725666699259,0.5751084285690727,UP,0.6520296335220337,0.3479703664779663
100,3,0.03,0.5,0.6848497325111573,0.576446951082087,UP,0.5746107697486877,0.42538923025131226
250,5,0.01,0.5,0.6851555971889028,0.5764496995882737,UP,0.6626766920089722,0.33732330799102783
150,3,0.03,1.0,0.685244548899588,0.5750946860381383,UP,0.6864393949508667,0.3135606050491333
150,9,0.01,0.5,0.6853057953858054,0.5717112749220798,UP,0.5895294547080994,0.41047054529190063
150,9,0.01,0.8,0.6853807967910663,0.5751111770752596,UP,0.6215634346008301,0.3784365653991699
200,3,0.03,0.8,0.6857511902527952,0.5764496995882737,UP,0.6510937809944153,0.3489062190055847
50,5,0.05,1.0,0.6858070324885998,0.5622619106515608,UP,0.6608219742774963,0.33917802572250366
200,7,0.01,0.5,0.6863826667121004,0.5690012478218088,UP,0.6304506659507751,0.36954933404922485
100,5,0.03,1.0,0.6865154655393887,0.5710598789557876,UP,0.6606837511062622,0.3393162488937378
300,5,0.01,1.0,0.6867256987884479,0.5656398247552455,UP,0.6658543944358826,0.33414560556411743
50,3,0.1,1.0,0.6874743314955553,0.5757653215477387,UP,0.7274779081344604,0.27252209186553955
50,9,0.03,0.8,0.6877373169839746,0.5608959030766778,UP,0.6738853454589844,0.3261146545410156
100,3,0.05,1.0,0.6879463962736231,0.5744103079976033,UP,0.729431688785553,0.270568311214447
300,5,0.01,0.5,0.6881204012028945,0.5683278638060214,UP,0.6821553111076355,0.3178446888923645
300,5,0.01,0.8,0.6885413603701326,0.568338857830769,UP,0.6735407710075378,0.32645922899246216
50,5,0.05,0.8,0.6887864461488933,0.5636086786831357,UP,0.6732499003410339,0.32675009965896606
200,7,0.01,0.8,0.6889707983461048,0.5629078096054794,UP,0.6803362369537354,0.31966376304626465
150,3,0.03,0.5,0.6891831407000327,0.5649417041837762,UP,0.6434372067451477,0.3565627932548523
100,5,0.03,0.8,0.6895408639686211,0.5683278638060214,UP,0.7086114883422852,0.29138851165771484
50,3,0.1,0.8,0.6895548051214826,0.5629078096054795,UP,0.625158965587616,0.37484103441238403
50,9,0.03,0.5,0.6898357235648823,0.5615747841048391,UP,0.5609130263328552,0.4390869736671448
50,7,0.03,0.5,0.6902400770108948,0.5608876575581172,UP,0.6178727149963379,0.3821272850036621
100,3,0.05,0.8,0.6903712325905396,0.5595381410203554,UP,0.6820955872535706,0.31790441274642944
200,9,0.01,0.5,0.690559079350467,0.550053046169407,UP,0.6148374080657959,0.3851625919342041
250,7,0.01,0.5,0.6906873148588192,0.5669783472682597,UP,0.6685062050819397,0.3314937949180603
200,3,0.03,1.0,0.6907986460219396,0.5689957508094351,UP,0.729220986366272,0.270779013633728
50,9,0.03,1.0,0.6914729933098404,0.5561657239290446,UP,0.6764851212501526,0.3235148787498474
150,7,0.01,1.0,0.6919192587951807,0.5629297976549744,UP,0.5939173102378845,0.4060826897621155
150,9,0.01,1.0,0.6921546288277137,0.5581968700011544,UP,0.648493230342865,0.351506769657135
200,9,0.01,0.8,0.6928082175812649,0.5703700039028788,UP,0.6865893602371216,0.3134106397628784
250,3,0.03,0.8,0.6933176174473141,0.5744267990347246,UP,0.6493949294090271,0.3506050705909729
50,3,0.1,0.5,0.693463728734244,0.5609068971014254,UP,0.6165716052055359,0.3834283947944641
50,7,0.03,1.0,0.6935312889699558,0.5595381410203554,UP,0.5846322178840637,0.4153677821159363
250,7,0.01,0.8,0.6944596279628573,0.5615610415739046,UP,0.6972792148590088,0.3027207851409912
150,5,0.03,1.0,0.6947134424329752,0.574440541565659,UP,0.6847503185272217,0.3152496814727783
300,7,0.01,0.5,0.6948109361875948,0.5669755987620729,UP,0.6751869916915894,0.32481300830841064
250,3,0.03,1.0,0.6955023098244703,0.5635866906336405,UP,0.7499953508377075,0.2500046491622925
